session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
6201c20c8f34db76ab43ddf8,610329975d39376c37360d3c,APPROVED,2022-02-08 01:07:07.334000,2022-02-08 01:13:24.887000,377.553,27,387,3,99,2022-02-08 17:15:25.201000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201c21c29bc3067e80eb4b0,56797198c3041a0012b64b5e,APPROVED,2022-02-08 01:06:40.349000,2022-02-08 01:14:31.457000,471.108,69,1424,0,100,2022-02-08 17:15:25.354000,1AE5690E,United States,United States,DATA EXPIRED,English,United States,Female,No
6201c22037d7d44de7727310,559b1e92fdf99b426abb6227,APPROVED,2022-02-08 01:06:44.682000,2022-02-08 01:14:10.145000,445.463,42,2847,4,100,2022-02-08 17:15:25.490000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201c22889ff9498366a49cb,568715f93693190005268f30,APPROVED,2022-02-08 01:06:50.760000,2022-02-08 01:12:17.307000,326.547,38,455,3,100,2022-02-08 17:15:25.632000,NOCODE,Belgium,United Kingdom,DATA EXPIRED,English,United Kingdom,Female,DATA EXPIRED
6201c2347a43e0ddf42cdc15,5d8a64630ffb9c001746ca2c,APPROVED,2022-02-08 01:07:00.702000,2022-02-08 01:15:10.680000,489.978,62,2599,9,100,2022-02-08 17:15:25.753000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201c235715538de9aeb4bff,6108688a0dab4b6622af82e9,APPROVED,2022-02-08 01:07:05.789000,2022-02-08 22:16:00.498000,76134.709,57,611,5,98,2022-02-08 22:16:01.264000,Manual Completion,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
6201c237a1b6509f5dc1539e,6106bad588d258f0bdce42c9,APPROVED,2022-02-08 01:07:06.780000,2022-02-08 01:12:00.491000,293.711,22,371,1,100,2022-02-08 17:15:25.902000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201c23af625a697499f6673,615d0733aeb8f75406c20fbb,APPROVED,2022-02-08 01:07:10.884000,2022-02-08 01:24:45.671000,1054.787,34,800,0,100,2022-02-08 17:15:26.016000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201c254d23a0f84531551c7,612547f89bad5437aaecfa66,APPROVED,2022-02-08 01:07:34.461000,2022-02-08 01:14:57.151000,442.69,29,661,0,100,2022-02-08 17:15:26.116000,1AE5690E,United States,United States,Full-Time,English,United States,Male,No
6201c25d049f3e040dacfca3,5df97cf6deea2b70989b6528,APPROVED,2022-02-08 01:07:44.555000,2022-02-08 01:14:46.780000,422.225,51,1535,0,100,2022-02-08 17:15:26.265000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201c2e6efaab7ab7e445e4b,61036b968e883dc6b02687e4,APPROVED,2022-02-08 01:10:03.808000,2022-02-08 01:18:34.076000,510.268,26,542,10,98,2022-02-08 17:15:26.380000,1AE5690E,United States,United States,Full-Time,English,United States,Male,DATA EXPIRED
6201c2e8d0b14e6498ea70b3,5fb2041681fe9376804e1249,APPROVED,2022-02-08 01:11:42.858000,2022-02-08 01:17:52.151000,369.293,39,872,1,100,2022-02-08 17:15:26.502000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
6201c474999a1fdff087666d,6115c8cbd1923433e1832a02,APPROVED,2022-02-08 01:16:56.814000,2022-02-08 01:22:22.377000,325.563,25,444,2,100,2022-02-08 17:15:26.637000,1AE5690E,United States,United States,Full-Time,English,United States,Female,No
